Trade_ID,Direction,Reason_Open,Entry_Time,Reason_Close,Exit_Time,Trade_Duration,Hours,Entry_Price,Exit_Price,Position_Size,Position_Value,Leverage,Net_PnL_USDT,Net_PnL_Percent,Drawdown_USDT,Drawdown_Percent,Balance,PnL_Type,Entry_RSI,Entry_SMA_RSI,Exit_RSI,Exit_SMA_RSI,Entry_Stoch_K,Entry_Stoch_D,Exit_Stoch_K,Exit_Stoch_D,Entry_Williams_R_Overbought,Exit_Williams_R_Overbought,Entry_Williams_R_Oversold,Exit_Williams_R_Oversold,Entry_Fear_Greed,Exit_Fear_Greed
1,BEAR_SHORT,market_type_change,2021-11-15 00:00:00+00:00,williams_oversold,2022-01-17 00:00:00+00:00,63.00 дн,1512.00,65502.47,43077.48,0.11,1485.00,5.00,2535.82,170.76,96.57,6.50,4035.82,Profit,,,,,,,,,,-73.69,,-92.19,75.00,23.00
2,BEAR_LONG,williams_oversold_reverse,2022-01-17 00:00:00+00:00,williams_overbought,2022-03-28 00:00:00+00:00,70.00 дн,1680.00,43077.48,46852.57,0.09,3995.46,1.00,345.97,8.66,935.38,23.41,4381.79,Profit,,,,,,,,,-73.69,-0.76,-92.19,-68.33,23.00,30.00
3,BEAR_SHORT,williams_overbought_reverse,2022-03-28 00:00:00+00:00,williams_oversold,2022-06-27 00:00:00+00:00,91.00 дн,2184.00,46852.57,21026.47,0.46,4337.97,5.00,11940.19,275.25,634.41,14.62,16321.98,Profit,,,,,,,,,-0.76,-76.73,-68.33,-90.32,30.00,9.00
4,BEAR_LONG,williams_oversold_reverse,2022-06-27 00:00:00+00:00,williams_overbought,2022-08-15 00:00:00+00:00,49.00 дн,1176.00,21026.47,24315.41,0.77,16158.76,1.00,2510.11,15.53,1858.56,11.50,18832.09,Profit,,,,,,,,,-76.73,-11.91,-90.32,-77.99,9.00,30.00
5,BEAR_SHORT,williams_overbought_reverse,2022-08-15 00:00:00+00:00,williams_oversold,2022-10-03 00:00:00+00:00,49.00 дн,1176.00,24315.41,19061.28,3.83,18643.77,5.00,20059.80,107.60,3420.84,18.35,38891.89,Profit,,,,,,,,,-11.91,-80.49,-77.99,-91.36,30.00,21.00
6,BEAR_LONG,williams_oversold_reverse,2022-10-03 00:00:00+00:00,williams_overbought,2022-10-31 00:00:00+00:00,28.00 дн,672.00,19061.28,20628.02,2.02,38502.98,1.00,3124.66,8.12,1819.11,4.72,42016.56,Profit,,,,,,,,,-80.49,-15.35,-91.36,-79.85,21.00,22.00
7,BEAR_SHORT,williams_overbought_reverse,2022-10-31 00:00:00+00:00,market_type_change,2022-11-14 00:00:00+00:00,14.00 дн,336.00,20628.02,16302.19,10.08,41596.39,5.00,43429.00,104.41,8526.47,20.50,85445.55,Profit,,,,,,,,,-15.35,-87.39,-79.85,-44.60,22.00,33.00
8,BULL_LONG,market_type_change,2022-11-21 00:00:00+00:00,stoch_down,2023-07-31 00:00:00+00:00,252.00 дн,6048.00,16253.60,29288.05,26.02,84591.10,5.00,338593.37,400.27,20292.68,23.99,424038.92,Profit,,,55.82,49.33,,,70.63,72.02,,-36.00,,-25.70,24.00,55.00
9,BULL_LONG,williams_oversold,2023-09-11 00:00:00+00:00,rsi_down,2023-10-09 00:00:00+00:00,28.00 дн,672.00,25837.44,27931.31,81.24,419798.53,5.00,167918.63,40.00,74896.94,17.84,591957.55,Profit,47.65,51.43,52.95,52.95,44.98,72.19,38.33,69.23,-84.86,-56.36,-84.86,-55.20,40.00,50.00
10,BULL_LONG,rsi_cross_up,2023-10-23 00:00:00+00:00,rsi_down,2024-05-13 00:00:00+00:00,203.00 дн,4872.00,30005.36,61502.90,97.66,586037.98,5.00,3071441.41,524.10,9657.16,1.65,3663398.96,Profit,57.47,53.59,65.01,66.52,41.47,67.12,65.32,69.59,-7.55,-38.92,-25.85,-34.81,47.00,71.00
11,BULL_LONG,rsi_cross_up,2024-05-20 00:00:00+00:00,rsi_down,2024-06-17 00:00:00+00:00,28.00 дн,672.00,66278.88,66639.60,273.60,3626764.97,5.00,80509.40,2.22,342786.52,9.45,3743908.36,Profit,68.71,66.84,65.62,68.92,62.86,70.29,51.79,71.84,-28.67,-41.29,-21.21,-22.27,57.00,72.00
12,BULL_LONG,rsi_cross_up,2024-11-11 00:00:00+00:00,rsi_down,2025-03-03 00:00:00+00:00,112.00 дн,2688.00,80410.75,94327.62,230.47,3706469.28,5.00,3187298.96,85.99,486420.58,13.12,6931207.32,Profit,65.44,64.62,60.19,61.27,28.65,32.51,68.64,39.34,-3.37,-48.41,-3.37,-32.07,70.00,49.00
13,BULL_LONG,williams_oversold,2025-04-07 00:00:00+00:00,williams_overbought,2025-05-19 00:00:00+00:00,42.00 дн,1008.00,78393.74,106493.59,437.66,6861895.25,5.00,12257604.27,178.63,1729852.12,25.21,19188811.59,Profit,47.93,59.44,63.98,59.70,43.82,46.54,33.75,50.50,-94.87,-0.47,-94.87,-8.21,34.00,70.00
14,BULL_LONG,rsi_cross_up,2025-06-30 00:00:00+00:00,williams_overbought,2025-07-14 00:00:00+00:00,14.00 дн,336.00,108385.69,119080.75,876.36,18996923.47,5.00,9273025.57,48.81,2827707.84,14.89,28461837.16,Profit,62.35,61.16,67.42,61.65,43.26,51.22,52.80,50.98,-9.55,-0.82,-9.55,-0.82,47.00,73.00
