Trade_ID,Direction,Reason_Open,Entry_Time,Reason_Close,Exit_Time,Trade_Duration,Hours,Entry_Price,Exit_Price,Position_Size,Position_Value,Leverage,Net_PnL_USDT,Net_PnL_Percent,Drawdown_USDT,Drawdown_Percent,Balance,PnL_Type,Entry_RSI,Entry_SMA_RSI,Exit_RSI,Exit_SMA_RSI,Entry_Stoch_K,Entry_Stoch_D,Exit_Stoch_K,Exit_Stoch_D,Entry_Williams_R_Overbought,Exit_Williams_R_Overbought,Entry_Williams_R_Oversold,Exit_Williams_R_Oversold,Entry_Fear_Greed,Exit_Fear_Greed
1,BULL_LONG,market_type_change,2015-01-12 00:00:00+00:00,rsi_down,2015-06-01 00:00:00+00:00,140.00 дн,3360.00,267.54,228.38,37.00,9900.00,1.00,-1458.24,-14.73,3740.72,37.79,8541.76,Loss,,,40.40,41.08,,,59.35,30.21,,-83.59,,-58.09,,
2,BULL_LONG,rsi_cross_up,2015-06-15 00:00:00+00:00,stoch_down,2015-10-05 00:00:00+00:00,112.00 дн,2688.00,233.50,239.47,36.22,8456.34,1.00,207.64,2.46,2589.41,30.62,8749.40,Profit,41.42,40.77,44.58,42.06,63.08,32.98,58.87,59.51,-78.21,-49.75,-77.67,-49.75,,
3,BULL_LONG,stoch_cross_up,2015-12-28 00:00:00+00:00,stoch_down,2016-03-21 00:00:00+00:00,84.00 дн,2016.00,421.82,410.81,20.53,8661.90,1.00,-234.63,-2.71,1423.46,16.43,8514.76,Loss,63.55,47.89,56.63,53.22,66.73,65.12,66.16,66.45,-29.20,-50.00,-23.88,-45.53,,
4,BULL_LONG,rsi_cross_up,2016-10-17 00:00:00+00:00,williams_overbought,2016-12-19 00:00:00+00:00,63.00 дн,1512.00,640.54,790.16,13.16,8429.62,1.00,1959.57,23.25,207.33,2.46,10474.33,Profit,60.85,60.36,71.11,62.58,22.63,47.42,46.64,40.69,-20.37,-0.64,-46.68,-0.40,,
5,BULL_LONG,rsi_cross_up,2017-01-23 00:00:00+00:00,rsi_down,2017-03-20 00:00:00+00:00,56.00 дн,1344.00,925.86,1012.51,11.20,10369.59,1.00,959.62,9.25,496.67,4.79,11433.95,Profit,66.81,64.31,59.55,65.59,62.39,41.75,68.68,46.85,-43.56,-54.42,-41.06,-48.21,,
6,BULL_LONG,rsi_cross_up,2017-04-10 00:00:00+00:00,rsi_down,2017-04-17 00:00:00+00:00,7.00 дн,168.00,1208.98,1174.74,9.36,11319.61,1.00,-331.81,-2.93,1008.56,8.91,11102.14,Loss,65.19,64.96,63.28,64.92,55.17,48.75,51.13,49.25,-21.59,-27.49,-20.75,-26.50,,
7,BULL_LONG,rsi_cross_up,2017-04-24 00:00:00+00:00,williams_overbought,2017-05-01 00:00:00+00:00,7.00 дн,168.00,1246.52,1360.17,8.82,10991.12,1.00,990.62,9.01,69.31,0.63,12092.76,Profit,65.46,64.90,68.65,65.00,47.59,49.79,44.80,50.41,-17.58,-0.94,-15.30,-0.74,,
8,BULL_LONG,stoch_cross_up,2017-06-05 00:00:00+00:00,williams_overbought,2017-06-12 00:00:00+00:00,7.00 дн,168.00,2523.63,2959.52,4.74,11971.83,1.00,2054.82,17.16,20.37,0.17,14147.58,Profit,84.99,67.78,87.76,68.51,55.79,55.17,58.33,56.23,-12.98,-0.22,-12.54,-0.22,,
9,BULL_LONG,rsi_cross_up,2017-08-07 00:00:00+00:00,rsi_down,2017-09-18 00:00:00+00:00,42.00 дн,1008.00,3223.68,3704.55,4.34,14006.11,1.00,2074.20,14.81,1083.14,7.73,16221.78,Profit,71.78,70.44,64.93,71.63,57.32,58.41,60.17,57.26,-5.75,-40.05,-4.67,-35.07,,
10,BULL_LONG,rsi_cross_up,2017-10-16 00:00:00+00:00,rsi_down,2017-11-13 00:00:00+00:00,28.00 дн,672.00,5686.36,5861.44,2.82,16059.56,1.00,478.16,2.98,1643.37,10.23,16699.94,Profit,76.27,71.17,66.31,72.16,47.34,54.66,52.02,54.33,-4.25,-40.95,-4.25,-33.04,,
