time,open,high,low,close
2009-10-05,0.00076392,0.00120045,0.00076392,0.00115338
2009-10-12,0.00110205,0.00124491,0.00110205,0.00122546
2009-10-19,0.00124799,0.00128808,0.00121062,0.00128808
2009-10-26,0.00126622,0.00128455,0.00121911,0.00121911
2009-11-02,0.00125614,0.00130618,0.00125614,0.00126048
2009-11-09,0.00126048,0.00135534,0.00123576,0.00123576
2009-11-16,0.00118912,0.00118912,0.00105922,0.00105922
2009-11-23,0.00100038,0.00100038,0.00082926,0.00082926
2009-11-30,0.00082384,0.00082384,0.00073284,0.00073284
2009-12-07,0.00071822,0.00071822,0.00061788,0.00061788
2009-12-14,0.00061487,0.00063024,0.00061337,0.0006271
2009-12-21,0.0006271,0.0006334,0.0006271,0.0006334
2009-12-28,0.0006334,0.00071822,0.0006334,0.00071822
2010-01-04,0.00071822,0.00071822,0.00071822,0.00071822
2010-01-11,0.00071822,0.00283078,0.00071822,0.00280002
2010-01-18,0.00294594,0.00325203,0.00273583,0.00325203
2010-01-25,0.00325404,0.0033661,0.00318532,0.00329826
2010-02-01,0.00329674,0.00373511,0.00329674,0.00373511
2010-02-08,0.00379478,0.00405351,0.00379478,0.00405351
2010-02-15,0.00414731,0.00466157,0.00414731,0.00466157
2010-02-22,0.0047061,0.00529801,0.0047061,0.00529801
2010-03-01,0.00539695,0.00547226,0.00539695,0.00547226
2010-04-19,0.003,0.003,0.003,0.003
2010-04-26,0.003,0.003,0.003,0.003
2010-05-03,0.003,0.0043,0.003,0.0035
2010-05-10,0.0039,0.0044,0.0039,0.004
2010-05-17,0.0047,0.0049,0.0043,0.0045
2010-05-24,0.0048,0.0048,0.0045,0.0045
2010-06-07,0.0046,0.005,0.0045,0.005
2010-06-14,0.005,0.005,0.005,0.005
2010-06-21,0.005,0.0054,0.0044,0.0044
2010-06-28,0.005,0.0068,0.0044,0.0068
2010-07-05,0.0055,0.0084,0.0055,0.007
2010-07-12,0.012,0.0925,0.01,0.08584
2010-07-19,0.0909,0.09307,0.05049,0.0505
2010-07-26,0.05,0.0699,0.05,0.0611
2010-08-02,0.0625,0.065,0.057,0.0609
